\datem\exp_data\captex\captex4.txt           
year mn dy  shr  dur   lat     lon    pmch  stn
1983 10 15 0600 0300 41.42  -81.87      .0  314
1983 10 15 0600 0300 41.27  -82.62      .0  318
1983 10 15 0600 0300 41.33  -83.12      .0  320
1983 10 15 0600 0300 40.43  -79.15    46.8  404
1983 10 15 0600 0300 40.82  -79.53      .0  406
1983 10 15 0600 0300 42.08  -80.18      .0  412
1983 10 15 0600 0300 42.67  -81.15      .0  454
1983 10 15 0600 0300 42.70  -82.35      .0  456
1983 10 15 0600 0300 40.78  -74.67   483.6  703
1983 10 15 0600 0300 44.68  -77.15      .0  753
1983 10 15 0600 0600 41.27  -73.80      .0  904
1983 10 15 0900 0300 40.38  -80.63    15.6  306
1983 10 15 0900 0300 40.77  -80.75   202.8  308
1983 10 15 0900 0300 40.92  -81.43  1560.0  310
1983 10 15 0900 0300 41.30  -81.15   140.4  312
1983 10 15 0900 0300 41.42  -81.87      .0  314
1983 10 15 0900 0300 41.27  -82.62      .0  318
1983 10 15 0900 0300 41.33  -83.12      .0  320
1983 10 15 0900 0300 40.43  -79.15    31.2  404
1983 10 15 0900 0300 40.82  -79.53      .0  406
1983 10 15 0900 0300 42.08  -80.18      .0  412
1983 10 15 0900 0300 42.67  -81.15      .0  454
1983 10 15 0900 0300 42.70  -82.35      .0  456
1983 10 15 0900 0600 40.20  -78.25   124.8  502
1983 10 15 0900 0600 40.67  -78.23   686.4  504
1983 10 15 0900 0600 41.30  -78.48  2464.8  506
1983 10 15 0900 0600 41.80  -78.63      .0  508
1983 10 15 0900 0600 42.25  -78.80      .0  510
1983 10 15 0900 0600 42.48  -78.93      .0  512
1983 10 15 0900 0600 43.52  -79.92      .0  554
1983 10 15 0900 0600 43.98  -80.75      .0  556
1983 10 15 0900 0600 39.92  -76.75   109.2  602
1983 10 15 0900 0600 41.25  -76.92  2464.8  606
1983 10 15 0900 0600 41.98  -77.57    15.6  608
1983 10 15 0900 0600 42.88  -78.03    15.6  612
1983 10 15 0900 0600 43.03  -78.18      .0  614
1983 10 15 0900 0600 43.92  -78.67      .0  652
1983 10 15 0900 0600 40.37  -75.93  2527.2  702
1983 10 15 0900 0300 40.78  -74.67  3276.0  703
1983 10 15 0900 0600 42.45  -76.45    15.6  708
1983 10 15 0900 0600 43.98  -77.22      .0  752
1983 10 15 0900 0300 44.68  -77.15      .0  753
1983 10 15 0900 0600 44.28  -77.78      .0  754
1983 10 15 0900 0600 44.93  -78.72      .0  756
1983 10 15 0900 0600 39.93  -74.70   655.2  802
1983 10 15 0900 0600 40.45  -74.80  2418.0  803
1983 10 15 0900 0600 40.90  -74.60  2074.8  804
1983 10 15 0900 0600 41.30  -74.67    31.2  805
1983 10 15 0900 0600 41.63  -74.80      .0  806
1983 10 15 0900 0600 42.92  -75.12      .0  809
1983 10 15 0900 0600 43.23  -75.40      .0  810
1983 10 15 0900 0600 43.58  -75.52      .0  811
1983 10 15 0900 0600 40.67  -73.52  1419.6  902
1983 10 15 0900 0600 40.85  -73.97  1794.0  903
1983 10 15 0900 0600 43.05  -74.20      .0  908
1983 10 15 0900 0600 43.97  -74.10      .0  910
1983 10 15 0900 0600 44.80  -75.00      .0  912
1983 10 15 0900 0600 45.55  -75.52      .0  952
1983 10 15 0900 0600 41.10  -72.37      .0    2
1983 10 15 0900 0600 41.95  -72.30      .0    4
1983 10 15 0900 0600 43.03  -72.80      .0    6
1983 10 15 0900 0600 44.90  -73.80      .0   10
1983 10 15 0900 0600 45.98  -74.00      .0   52
1983 10 15 0900 0600 41.73  -71.43      .0  102
1983 10 15 0900 0600 42.70  -71.17      .0  104
1983 10 15 0900 0600 44.27  -71.30      .0  106
1983 10 15 0900 0600 44.93  -72.20      .0  108
1983 10 15 1200 0300 40.43  -79.15    78.0  404
1983 10 15 1200 0300 40.82  -79.53    15.6  406
1983 10 15 1200 0300 42.08  -80.18      .0  412
1983 10 15 1200 0300 42.67  -81.15      .0  454
1983 10 15 1200 0300 42.70  -82.35      .0  456
1983 10 15 1200 0300 40.78  -74.67  2433.6  703
1983 10 15 1200 0600 43.07  -76.83      .0  710
1983 10 15 1200 0300 44.68  -77.15      .0  753
1983 10 15 1200 0600 42.08  -74.97      .0  807
1983 10 15 1200 0600 41.27  -73.80      .0  904
1983 10 15 1500 0600 40.20  -78.25    46.8  502
1983 10 15 1500 0600 40.67  -78.23   140.4  504
1983 10 15 1500 0600 41.30  -78.48   187.2  506
1983 10 15 1500 0600 41.80  -78.63      .0  508
1983 10 15 1500 0600 42.25  -78.80      .0  510
1983 10 15 1500 0600 42.48  -78.93      .0  512
1983 10 15 1500 0600 43.52  -79.92      .0  554
1983 10 15 1500 0600 43.98  -80.75      .0  556
1983 10 15 1500 0600 39.92  -76.75   202.8  602
1983 10 15 1500 0600 41.25  -76.92   124.8  606
1983 10 15 1500 0600 41.98  -77.57      .0  608
1983 10 15 1500 0600 42.88  -78.03      .0  612
1983 10 15 1500 0600 43.03  -78.18      .0  614
1983 10 15 1500 0600 43.92  -78.67      .0  652
1983 10 15 1500 0600 44.62  -79.53      .0  654
1983 10 15 1500 0600 40.37  -75.93   624.0  702
1983 10 15 1500 0300 40.78  -74.67   156.0  703
1983 10 15 1500 0600 41.83  -75.87      .0  706
1983 10 15 1500 0600 42.45  -76.45      .0  708
1983 10 15 1500 0600 43.98  -77.22    15.6  752
1983 10 15 1500 0300 44.68  -77.15      .0  753
1983 10 15 1500 0600 44.28  -77.78      .0  754
1983 10 15 1500 0600 44.93  -78.72      .0  756
1983 10 15 1500 0600 39.93  -74.70   405.6  802
1983 10 15 1500 0600 40.45  -74.80   374.4  803
1983 10 15 1500 0600 40.90  -74.60    46.8  804
1983 10 15 1500 0600 41.30  -74.67      .0  805
1983 10 15 1500 0600 41.63  -74.80      .0  806
1983 10 15 1500 0600 42.92  -75.12      .0  809
1983 10 15 1500 0600 43.23  -75.40      .0  810
1983 10 15 1500 0600 43.58  -75.52      .0  811
1983 10 15 1500 0600 44.48  -76.03      .0  852
1983 10 15 1500 0600 40.67  -73.52    93.6  902
1983 10 15 1500 0600 40.85  -73.97      .0  903
1983 10 15 1500 0600 43.05  -74.20      .0  908
1983 10 15 1500 0600 43.97  -74.10      .0  910
1983 10 15 1500 0600 44.80  -75.00      .0  912
1983 10 15 1500 0600 45.55  -75.52      .0  952
1983 10 15 1500 0600 41.10  -72.37      .0    2
1983 10 15 1500 0600 41.95  -72.30      .0    4
1983 10 15 1500 0600 43.03  -72.80      .0    6
1983 10 15 1500 0600 44.90  -73.80      .0   10
1983 10 15 1500 0600 45.98  -74.00      .0   52
1983 10 15 1500 0600 41.73  -71.43      .0  102
1983 10 15 1500 0600 42.70  -71.17      .0  104
1983 10 15 1500 0600 44.27  -71.30      .0  106
1983 10 15 1500 0600 44.93  -72.20      .0  108
1983 10 15 1800 0300 40.78  -74.67      .0  703
1983 10 15 1800 0600 43.07  -76.83      .0  710
1983 10 15 1800 0300 44.68  -77.15      .0  753
1983 10 15 1800 0600 42.08  -74.97    15.6  807
1983 10 15 1800 0600 41.27  -73.80      .0  904
1983 10 15 2100 0600 40.20  -78.25   124.8  502
1983 10 15 2100 0600 40.67  -78.23   577.2  504
1983 10 15 2100 0600 41.30  -78.48      .0  506
1983 10 15 2100 0600 41.80  -78.63      .0  508
1983 10 15 2100 0600 42.25  -78.80      .0  510
1983 10 15 2100 0600 42.48  -78.93    15.6  512
1983 10 15 2100 0600 43.52  -79.92      .0  554
1983 10 15 2100 0600 43.98  -80.75      .0  556
1983 10 15 2100 0600 39.92  -76.75   358.8  602
